Game_ID,Prompt,Color,Category,Response,Response_Probability,Response_Surprisal,Correct_Answer,Probability_Correct,Surprisal_Correct,Correct
1,"['HAIL', 'RAIN', 'SLEET']",yellow,WET WEATHER,POM,2.767890009636176e-06,18.462781955000278,SNOW,8.753806923778029e-08,23.445514195224728,False
1,"['BUCKS', 'HEAT', 'JAZZ']",green,NBA TEAMS,TENOR,1.2759016954078106e-06,19.580051391483977,NETS,7.660617029614514e-08,23.637964159414246,False
1,"['OPTION', 'RETURN', 'SHIFT']",blue,KEYBOARD KEYS,TENOR,1.2635468920052517e-06,19.59408936360254,TAB,2.4258642383756523e-07,21.974997850811125,False
1,"['KAYAK', 'LEVEL', 'MOM']",purple,PALINDROMES,POM,1.292613319492375e-06,19.561277806537667,RACECAR,2.7552837877919956e-07,21.79129574354402,False
2,"['BOOT', 'LOAFER', 'PUMP']",yellow,FOOTWEAR,PIT,9.178163963952102e-06,16.733362989217305,SNEAKER,2.6575286415919663e-10,31.809195708345833,False
2,"['FOOT', 'LEAGUE', 'MILE']",green,UNITS OF LENGTH,PIT,1.0095354809891433e-05,16.5959488581235,YARD,7.734101359346823e-07,20.30226299241187,False
2,"['ESSENCE', 'PEOPLE', 'TIME']",blue,MAGAZINES,PIT,9.497158316662535e-06,16.684072665958368,US,9.497158316662535e-06,16.684072665958368,False
2,"['ARE', 'QUEUE', 'SEA']",purple,LETTER HOMOPHONES,LAB,1.0130721420864575e-05,16.59090356058948,WHY,5.746964575337188e-07,20.73069650787672,False
3,"['CHEEK', 'EYE', 'MOUTH']",yellow,FACIAL FEATURES,POM,3.2933862712525297e-06,18.211996838156526,NOSE,5.879564923816361e-07,20.6977872617818,False
3,"['CHOW', 'GOBBLE', 'SCARF']",green,SYNONYMS FOR EAT,WOLF,4.687841283157468e-06,17.702644844247864,WOLF,4.687841283157468e-06,17.702644844247864,True
3,"['LAB', 'PEKE', 'PIT']",blue,"DOG BREEDS,  INFORMALLY",POM,3.709222482939367e-06,18.04045176457117,POM,3.709222482939367e-06,18.04045176457117,True
3,"['AMIGO', 'KING', 'STOOGE']",purple,MEMBERS OF A TRIO,WOLF,5.128386874275748e-06,17.573063469507527,TENOR,1.2711048880120757e-09,29.551269771580927,False
4,"['ADIDAS', 'NIKE', 'PUMA']",yellow,SNEAKER BRANDS,TENOR,5.039627922087675e-06,17.59825134646691,REEBOK,1.110695535544437e-07,23.10203326562882,False
4,"['CABARET', 'CAROUSEL', 'CATS']",green,MUSICALS BEGINNING WITH “C”,TENOR,4.312065357225947e-06,17.82318952438979,CHICAGO,7.664844474675192e-07,20.31524014537265,False
4,"['DUST', 'MOP', 'SWEEP']",blue,CLEANING VERBS,PIT,6.255553444134421e-07,20.608359135410108,VACUUM,1.23824818842877e-07,22.945196153916974,False
